#factions																	
Id	Enabled	InitialPower	InitialTechLevel	InitialPlayerReputation	FactionType	AllianceType	SpawnMissionChance	Strategies	StrategyDurationMinHours	StrategyDurationMaxHours	GuardCreatureId	AgentCreatureId	MinQmorphosWhenVictims	UseGeneralRewards	PortraitsByStrategy	ItemDropCategories	
	Tezctlan	CivilRes	RaiderCapture Elimination Sabotage Ritual	quest_cresist_elite	quest_fresco_data	serverStation											
	Tezctlan	Pirates	RaiderCapture Elimination Sabotage Ritual	quest_pirates_elite	quest_fresco_data	serverStation											
	Tezctlan	Xiomara	RaiderCapture Elimination Sabotage Espionage	quest_venus_demon_warrior	quest_igvalit	relicvarium											
	Tezctlan	Shedu	RaiderCapture Elimination Sabotage Espionage	quest_venus_demon_warrior	quest_igvalit	relicvarium											
	CivilRes	Corp	RaiderCapture Elimination Sabotage Espionage Robbery	quest_manager	quest_device	spaceScaner											
	CivilRes	Pirates	RaiderCapture Elimination Sabotage Espionage Robbery	quest_pirates_elite	quest_fresco_data	cargoBlock											
	CivilRes	Tezctlan	RaiderCapture Elimination Espionage Robbery	quest_venus_demon_warrior	quest_igvalit	relicvarium											
	CivilRes	Xiomara	RaiderCapture Elimination Espionage Robbery	quest_venus_demon_warrior	quest_igvalit	relicvarium											
	CivilRes	Shedu	RaiderCapture Elimination Espionage Robbery	quest_venus_demon_warrior	quest_igvalit	relicvarium											
	Xiomara	Corp	RaiderCapture Elimination Sabotage Ritual	quest_mercury_force	quest_igvalit	spaceScaner											
	Xiomara	CivilRes	RaiderCapture Elimination Sabotage Ritual	quest_cresist_elite	quest_fresco_data	serverStation											
	Xiomara	Pirates	RaiderCapture Elimination Sabotage Ritual	quest_pirates_elite	quest_fresco_data	serverStation											
	Xiomara	Tezctlan	RaiderCapture Elimination Sabotage Espionage	quest_venus_demon_warrior	quest_igvalit	relicvarium											
	Xiomara	Shedu	RaiderCapture Elimination Sabotage Espionage	quest_venus_demon_warrior	quest_igvalit	relicvarium											
	Shedu	Corp	RaiderCapture Elimination Sabotage Ritual	quest_mercury_force	quest_igvalit	spaceScaner											
	Shedu	CivilRes	RaiderCapture Elimination Sabotage Ritual	quest_cresist_elite	quest_fresco_data	serverStation											
	Shedu	Pirates	RaiderCapture Elimination Sabotage Ritual	quest_pirates_elite	quest_fresco_data	serverStation											
	Shedu	Tezctlan	RaiderCapture Elimination Sabotage Espionage	quest_venus_demon_warrior	quest_artefact	relicvarium											
	Shedu	Xiomara	RaiderCapture Elimination Sabotage Espionage	quest_venus_demon_warrior	quest_artefact	relicvarium											
	Pirates	Corp	RaiderCapture Elimination Sabotage Espionage Robbery	quest_manager	quest_device	spaceScaner											
	Pirates	CivilRes	RaiderCapture Elimination Sabotage Espionage Robbery	quest_cresist_elite	quest_fresco_data	cargoBlock											
	Pirates	Tezctlan	RaiderCapture Elimination Espionage Robbery	quest_venus_demon_warrior	quest_igvalit	relicvarium											
	Pirates	Xiomara	RaiderCapture Elimination Espionage Robbery	quest_venus_demon_warrior	quest_igvalit	relicvarium											
	Pirates	Shedu	RaiderCapture Elimination Espionage Robbery	quest_venus_demon_warrior	quest_igvalit	relicvarium											
#end																	
																	
#techlevels																	
TechLevel	ExperienceToLevelUp	MaxMissionsСount															
1	500	2															
2	750	2															
3	1000	3															
4	1500	3															
5	2000	3															
6	2500	4															
7	3000	4															
8	4000	4															
9	5000	5															
10	0	5															
#end																	
																	
#prizes_by_rating																	
ProcMissionType	DifficultyRating	MinPrizePoints	MaxPrizePoints	PowerToPrizePointsMult	PowerToMonsterPointsMult												
RaiderCapture	1	450	600	0.1	0.1												
RaiderCapture	2	750	900	0.1	0.1												
RaiderCapture	3	1150	1400	0.1	0.1												
RaiderCapture	4	1700	2000	0.1	0.1												
RaiderCapture	5	2500	3000	0.1	0.1												
Elimination	1	400	500	0.1	0.1												
Elimination	2	700	800	0.1	0.1												
Elimination	3	1000	1200	0.1	0.1												
Elimination	4	1500	1800	0.1	0.1												
Elimination	5	2200	2700	0.1	0.1												
Sabotage	1	400	500	0.1	0.1												
Sabotage	2	700	800	0.1	0.1												
Sabotage	3	1000	1200	0.1	0.1												
Sabotage	4	1500	1800	0.1	0.1												
Sabotage	5	2200	2700	0.1	0.1												
Espionage	1	400	500	0.1	0.1												
Espionage	2	700	800	0.1	0.1												
Espionage	3	1000	1200	0.1	0.1												
Espionage	4	1500	1800	0.1	0.1												
Espionage	5	2200	2700	0.1	0.1												
Defense	1	300	450	0.1	0.25												
Defense	2	600	750	0.1	0.25												
Defense	3	900	1150	0.1	0.25												
Defense	4	1400	1700	0.1	0.25												
Defense	5	2000	2500	0.1	0.25												
Ritual	1	400	500	0.1	0.1												
Ritual	2	700	800	0.1	0.1												
Ritual	3	1000	1200	0.1	0.1												
Ritual	4	1500	1800	0.1	0.1												
Ritual	5	2200	2700	0.1	0.1												
Robbery	1	400	500	0.1	0.1												
Robbery	2	700	800	0.1	0.1												
Robbery	3	1000	1200	0.1	0.1												
Robbery	4	1500	1800	0.1	0.1												
Robbery	5	2200	2700	0.1	0.1												
Infiltration	1	400	500	0.1	0.1												
Infiltration	2	700	800	0.1	0.1												
Infiltration	3	1000	1200	0.1	0.1												
Infiltration	4	1500	1800	0.1	0.1												
Infiltration	5	2200	2700	0.1	0.1												
Control	1	400	500	0.1	0.25												
Control	2	700	800	0.1	0.25												
Control	3	1000	1200	0.1	0.25												
Control	4	1500	1800	0.1	0.25												
Control	5	2200	2700	0.1	0.25												
Escort	1	400	500	0.1	0.1												
Escort	2	700	800	0.1	0.1												
Escort	3	1000	1200	0.1	0.1												
Escort	4	1500	1800	0.1	0.1												
Escort	5	2200	2700	0.1	0.1												
Counterattack	1	400	500	0.1	0.1												
Counterattack	2	700	800	0.1	0.1												
Counterattack	3	1000	1200	0.1	0.1												
Counterattack	4	1500	1800	0.1	0.1												
Counterattack	5	2200	2700	0.1	0.1												
Security	1	400	500	0.1	0.1												
Security	2	700	800	0.1	0.1												
Security	3	1000	1200	0.1	0.1												
Security	4	1500	1800	0.1	0.1												
Security	5	2200	2700	0.1	0.1												
#end																	
